Station,Recorder,OTnum,WAV_DeployTime,WAV_RetrTime,OT_DeployTime,OT_RetrTime,UTC_DeployTime,UTC_RetrTime
1,ST4300,0,42601.6375,42613.17917,0,0,42602.08885,42613.62825
2,ST4300,1,42602.48681,42613.80903,42603.07014,42614.39375,42602.77645,42614.09711
3,ST4300,0,42603.15069,42615.39514,0,0,42603.44568,42615.68799
4,ST4300,0,42603.72847,42616.50833,0,0,42604.02405,42616.79981
5,ST4300,3,42604.33542,42617.65694,42604.91667,NA*,42604.62875,42617.95223
6,ST4300,0,0,0,0,0,42606.54167,42625.53705
7,SM3M,0,0,0,0,0,42607.39686,42626.39576
8,SM2Bat,4,42608.20556,NA,42608.49861,42627.75139,42608.20572,42627.48604
9,ST4300,0,42608.72778,42628.25486,0,0,42609.02138,42628.54509
10,SM3M,5,0,0,42610.03333,42629.47778,42609.7402,42629.18215
11,SM2Bat,0,0,0,0,0,42610.53307,42630.17961
12,ST4300,0,0,0,0,0,42611.38223,42630.82994
13,SM3M,6,0,0,42612.16111,42631.46319,42611.86941,42631.16681
14,SM2Bat,0,0,0,0,0,42612.32714,42631.67234
15,ST4300,0,42613.00764,NA,0,0,42613.29936,42629.85214
16,ST4300,7,42614.26597,42633.71111,42614.84792,42634.29375,42614.55573,42633.998
17,SM3M,0,0,0,0,0,42615.16368,42634.9662
18,SM2Bat,0,0,0,0,0,42616.23245,42635.49192
19,ST4300,0,42617.49236,42636.29097,0,0,42617.49238,42636.29124
20,ST4300,1,42619.06806,0,42619.35972,42642.50833,42619.0663,42642.2134
21,ST4300,0,0,0,0,0,42617.00367,42638.41883
22,ST4300,3,0,0,42618.28264,42641.70972,42618.28176,42641.7112
23,ST4300,4,0,0,42637.36042,42641.33472,42637.06778,42641.0375
24,ST4300,5,0,0,42637.39444,42641.37361,42637.10438,42641.07733
25,ST4300,0,0,0,0,0,42637.17266,42641.11028
26,ST4300,6,0,0,42637.92569,42639.475,42637.63612,42639.17994
27,ST4300,0,0,0,0,0,42637.6594,42639.16134
28,ST4300,7,0,0,42637.9875,42642.41806,42637.69456,42642.12328
29,ST4300,6,0,0,42639.53056,42641.89028,42639.23644,42641.59494
30,ST4300,0,0,0,0,0,42639.25535,42641.6337
